Detected_Frame -> [ Distance , Curvature ] [avg_Dist_4]
1 -> [ -5 , 4 ]  -> [ 0 ] 
2 -> [ 0 , 2 ]  -> [ 0 ] 
3 -> [ -7 , 6 ]  -> [ 0 ] 
4 -> [ -3 , 4 ]  -> [ -3 ] 
5 -> [ -3 , 4 ]  -> [ -3 ] 
6 -> [ -3 , 2 ]  -> [ -3 ] 
7 -> [ -3 , 2 ]  -> [ -3 ] 
8 -> [ -3 , 4 ]  -> [ -3 ] 
9 -> [ 14 , -1 ]  -> [ -3 ] 
10 -> [ -3 , 4 ]  -> [ -3 ] 
11 -> [ -3 , 4 ]  -> [ -3 ] 
12 -> [ -2 , 3 ]  -> [ 1 ] 
13 -> [ 9 , 1 ]  -> [ 1 ] 
14 -> [ 9 , 1 ]  -> [ 1 ] 
15 -> [ 7 , 3 ]  -> [ 1 ] 
16 -> [ -10 , 9 ]  -> [ 3 ] 
17 -> [ -3 , 3 ]  -> [ 3 ] 
18 -> [ -3 , 4 ]  -> [ 3 ] 
19 -> [ -2 , 2 ]  -> [ 3 ] 
20 -> [ -2 , 2 ]  -> [ -2 ] 
21 -> [ -3 , 3 ]  -> [ -2 ] 
22 -> [ -2 , 3 ]  -> [ -2 ] 
23 -> [ -2 , 2 ]  -> [ -2 ] 
24 -> [ -9 , 6 ]  -> [ -4 ] 
25 -> [ -2 , 2 ]  -> [ -4 ] 
26 -> [ -2 , 2 ]  -> [ -4 ] 
27 -> [ -2 , 2 ]  -> [ -4 ] 
28 -> [ -9 , 7 ]  -> [ -3 ] 
29 -> [ -2 , 2 ]  -> [ -3 ] 
30 -> [ -2 , 2 ]  -> [ -3 ] 
31 -> [ -2 , 2 ]  -> [ -3 ] 
32 -> [ -2 , 2 ]  -> [ -2 ] 
33 -> [ -3 , 4 ]  -> [ -2 ] 
34 -> [ -3 , 5 ]  -> [ -2 ] 
35 -> [ -3 , 5 ]  -> [ -2 ] 
36 -> [ 25 , -24 ]  -> [ 4 ] 
37 -> [ -1 , 2 ]  -> [ 4 ] 
38 -> [ 2 , 3 ]  -> [ 4 ] 
39 -> [ 2 , 3 ]  -> [ 4 ] 
40 -> [ -3 , 2 ]  -> [ 0 ] 
41 -> [ -2 , 2 ]  -> [ 0 ] 
42 -> [ 41 , 20 ]  -> [ 0 ] 
43 -> [ 41 , 20 ]  -> [ 0 ] 
44 -> [ -4 , 2 ]  -> [ 19 ] 
45 -> [ -3 , 1 ]  -> [ 19 ] 
46 -> [ -3 , 4 ]  -> [ 19 ] 
47 -> [ -4 , 6 ]  -> [ 19 ] 
48 -> [ -2 , 5 ]  -> [ -3 ] 
49 -> [ -5 , 6 ]  -> [ -3 ] 
50 -> [ -4 , 6 ]  -> [ -3 ] 
51 -> [ -4 , 6 ]  -> [ -3 ] 
52 -> [ -9 , 15 ]  -> [ -5 ] 
53 -> [ -9 , 15 ]  -> [ -5 ] 
54 -> [ 9 , 4 ]  -> [ -5 ] 
55 -> [ -14 , 18 ]  -> [ -5 ] 
56 -> [ -2 , 6 ]  -> [ -4 ] 
57 -> [ -14 , 19 ]  -> [ -4 ] 
58 -> [ -12 , 7 ]  -> [ -4 ] 
59 -> [ -12 , 7 ]  -> [ -4 ] 
60 -> [ -15 , 13 ]  -> [ -13 ] 
61 -> [ -14 , 11 ]  -> [ -13 ] 
62 -> [ -13 , 14 ]  -> [ -13 ] 
63 -> [ -12 , 12 ]  -> [ -13 ] 
64 -> [ -12 , 12 ]  -> [ -12 ] 
65 -> [ 9 , -3 ]  -> [ -12 ] 
66 -> [ 9 , -3 ]  -> [ -12 ] 
67 -> [ 32 , 19 ]  -> [ -12 ] 
68 -> [ 22 , 25 ]  -> [ 18 ] 
69 -> [ 21 , 28 ]  -> [ 18 ] 
70 -> [ 21 , 28 ]  -> [ 18 ] 
71 -> [ 21 , 26 ]  -> [ 18 ] 
72 -> [ 32 , 19 ]  -> [ 23 ] 
73 -> [ 32 , 19 ]  -> [ 23 ] 
74 -> [ 21 , 11 ]  -> [ 23 ] 
75 -> [ 22 , 30 ]  -> [ 23 ] 
76 -> [ 21 , 27 ]  -> [ 24 ] 
77 -> [ 8 , 45 ]  -> [ 24 ] 
78 -> [ -95 , 70 ]  -> [ 24 ] 
79 -> [ -95 , 70 ]  -> [ 24 ] 
80 -> [ 6 , 44 ]  -> [ -44 ] 
81 -> [ -9 , 45 ]  -> [ -44 ] 
82 -> [ 21 , 50 ]  -> [ -44 ] 
83 -> [ 21 , 50 ]  -> [ -44 ] 
84 -> [ 3 , 54 ]  -> [ 9 ] 
85 -> [ 59 , 47 ]  -> [ 9 ] 
86 -> [ 58 , 46 ]  -> [ 9 ] 
87 -> [ 58 , 46 ]  -> [ 9 ] 
88 -> [ 55 , 48 ]  -> [ 57 ] 
89 -> [ 55 , 48 ]  -> [ 57 ] 
90 -> [ 54 , 48 ]  -> [ 57 ] 
91 -> [ 54 , 48 ]  -> [ 57 ] 
92 -> [ 83 , 42 ]  -> [ 61 ] 
93 -> [ 70 , 53 ]  -> [ 61 ] 
94 -> [ 70 , 53 ]  -> [ 61 ] 
95 -> [ 68 , 53 ]  -> [ 61 ] 
96 -> [ 80 , 49 ]  -> [ 72 ] 
97 -> [ 67 , 46 ]  -> [ 72 ] 
98 -> [ 67 , 46 ]  -> [ 72 ] 
99 -> [ 78 , 45 ]  -> [ 72 ] 
100 -> [ 65 , 52 ]  -> [ 69 ] 
101 -> [ 65 , 52 ]  -> [ 69 ] 
102 -> [ 67 , 45 ]  -> [ 69 ] 
103 -> [ 79 , 44 ]  -> [ 69 ] 
104 -> [ 86 , 45 ]  -> [ 74 ] 
105 -> [ 82 , 45 ]  -> [ 74 ] 
106 -> [ 82 , 41 ]  -> [ 74 ] 
107 -> [ 80 , 41 ]  -> [ 74 ] 
108 -> [ 78 , 45 ]  -> [ 80 ] 
109 -> [ 78 , 45 ]  -> [ 80 ] 
110 -> [ 77 , 45 ]  -> [ 80 ] 
111 -> [ 77 , 45 ]  -> [ 80 ] 
112 -> [ 75 , 47 ]  -> [ 76 ] 
113 -> [ 62 , 42 ]  -> [ 76 ] 
114 -> [ 74 , 45 ]  -> [ 76 ] 
115 -> [ 62 , 39 ]  -> [ 76 ] 
116 -> [ 51 , 22 ]  -> [ 62 ] 
117 -> [ 62 , 40 ]  -> [ 62 ] 
118 -> [ 62 , 40 ]  -> [ 62 ] 
119 -> [ 62 , 39 ]  -> [ 62 ] 
120 -> [ 62 , 39 ]  -> [ 62 ] 
121 -> [ 62 , 39 ]  -> [ 62 ] 
122 -> [ 62 , 39 ]  -> [ 62 ] 
123 -> [ 62 , 39 ]  -> [ 62 ] 
124 -> [ 62 , 39 ]  -> [ 62 ] 
125 -> [ 62 , 39 ]  -> [ 62 ] 
126 -> [ 62 , 39 ]  -> [ 62 ] 
127 -> [ 13 , -30 ]  -> [ 62 ] 
128 -> [ 14 , -41 ]  -> [ 37 ] 
129 -> [ 11 , -45 ]  -> [ 37 ] 
130 -> [ 13 , -45 ]  -> [ 37 ] 
131 -> [ 13 , -45 ]  -> [ 37 ] 
132 -> [ 11 , -46 ]  -> [ 12 ] 
133 -> [ 13 , -46 ]  -> [ 12 ] 
134 -> [ 12 , -43 ]  -> [ 12 ] 
135 -> [ 12 , -43 ]  -> [ 12 ] 
136 -> [ 11 , -45 ]  -> [ 12 ] 
137 -> [ 11 , -45 ]  -> [ 12 ] 
138 -> [ 14 , -44 ]  -> [ 12 ] 
139 -> [ 14 , -44 ]  -> [ 12 ] 
140 -> [ 14 , -47 ]  -> [ 13 ] 
141 -> [ 15 , -50 ]  -> [ 13 ] 
142 -> [ 10 , -24 ]  -> [ 13 ] 
143 -> [ 155 , -66 ]  -> [ 13 ] 
144 -> [ -22 , -60 ]  -> [ 39 ] 
145 -> [ 159 , -67 ]  -> [ 39 ] 
146 -> [ 159 , -66 ]  -> [ 39 ] 
147 -> [ 159 , -66 ]  -> [ 39 ] 
148 -> [ 156 , -67 ]  -> [ 158 ] 
149 -> [ -26 , -57 ]  -> [ 158 ] 
150 -> [ -27 , -60 ]  -> [ 158 ] 
151 -> [ -27 , -60 ]  -> [ 158 ] 
152 -> [ -25 , -60 ]  -> [ -26 ] 
153 -> [ 140 , -64 ]  -> [ -26 ] 
154 -> [ 140 , -64 ]  -> [ -26 ] 
155 -> [ 145 , -62 ]  -> [ -26 ] 
156 -> [ -34 , -56 ]  -> [ 97 ] 
157 -> [ 149 , -65 ]  -> [ 97 ] 
158 -> [ 5 , -38 ]  -> [ 97 ] 
159 -> [ 1 , -36 ]  -> [ 97 ] 
160 -> [ 2 , -35 ]  -> [ 39 ] 
161 -> [ 5 , 9 ]  -> [ 39 ] 
162 -> [ 5 , -34 ]  -> [ 39 ] 
163 -> [ 5 , -34 ]  -> [ 39 ] 
164 -> [ 13 , -39 ]  -> [ 7 ] 
165 -> [ 13 , -39 ]  -> [ 7 ] 
166 -> [ 18 , -36 ]  -> [ 7 ] 
167 -> [ 15 , -35 ]  -> [ 7 ] 
168 -> [ 19 , -35 ]  -> [ 16 ] 
169 -> [ 19 , -35 ]  -> [ 16 ] 
170 -> [ 22 , -34 ]  -> [ 16 ] 
171 -> [ 17 , -34 ]  -> [ 16 ] 
172 -> [ 25 , -35 ]  -> [ 20 ] 
173 -> [ 15 , -15 ]  -> [ 20 ] 
174 -> [ 9 , -16 ]  -> [ 20 ] 
175 -> [ 5 , -17 ]  -> [ 20 ] 
176 -> [ -9 , -14 ]  -> [ 5 ] 
177 -> [ -15 , -13 ]  -> [ 5 ] 
178 -> [ -19 , -12 ]  -> [ 5 ] 
179 -> [ -21 , -12 ]  -> [ 5 ] 
180 -> [ -21 , -12 ]  -> [ -19 ] 
181 -> [ -16 , -16 ]  -> [ -19 ] 
182 -> [ -36 , -2 ]  -> [ -19 ] 
183 -> [ -6 , -20 ]  -> [ -19 ] 
184 -> [ -6 , -20 ]  -> [ -16 ] 
185 -> [ 1 , -16 ]  -> [ -16 ] 
186 -> [ 40 , -41 ]  -> [ -16 ] 
187 -> [ -39 , -30 ]  -> [ -16 ] 
188 -> [ 81 , -1 ]  -> [ 20 ] 
189 -> [ 89 , -3 ]  -> [ 20 ] 
190 -> [ 89 , -3 ]  -> [ 20 ] 
191 -> [ -85 , 26 ]  -> [ 20 ] 
192 -> [ -48 , 10 ]  -> [ 11 ] 
193 -> [ -48 , 10 ]  -> [ 11 ] 
194 -> [ -45 , -57 ]  -> [ 11 ] 
195 -> [ -20 , -3 ]  -> [ 11 ] 
196 -> [ -46 , -26 ]  -> [ -39 ] 
197 -> [ 73 , -21 ]  -> [ -39 ] 
198 -> [ -63 , 39 ]  -> [ -39 ] 
199 -> [ -31 , 27 ]  -> [ -39 ] 
200 -> [ 72 , 1 ]  -> [ 12 ] 
201 -> [ 72 , 1 ]  -> [ 12 ] 
202 -> [ 75 , 15 ]  -> [ 12 ] 
203 -> [ 18 , -1 ]  -> [ 12 ] 
204 -> [ 18 , -1 ]  -> [ 45 ] 
205 -> [ 13 , -11 ]  -> [ 45 ] 
206 -> [ 6 , -21 ]  -> [ 45 ] 
207 -> [ 21 , -21 ]  -> [ 45 ] 
208 -> [ -3 , -1 ]  -> [ 9 ] 
209 -> [ 0 , -1 ]  -> [ 9 ] 
210 -> [ 0 , -1 ]  -> [ 9 ] 
211 -> [ 11 , -10 ]  -> [ 9 ] 
212 -> [ 15 , -15 ]  -> [ 6 ] 
213 -> [ -6 , 3 ]  -> [ 6 ] 
214 -> [ -27 , 13 ]  -> [ 6 ] 
215 -> [ -27 , 13 ]  -> [ 6 ] 
216 -> [ -5 , 3 ]  -> [ -16 ] 
217 -> [ -5 , 3 ]  -> [ -16 ] 
218 -> [ -15 , 10 ]  -> [ -16 ] 
219 -> [ -26 , 12 ]  -> [ -16 ] 
220 -> [ 0 , 35 ]  -> [ -11 ] 
221 -> [ 0 , 30 ]  -> [ -11 ] 
222 -> [ 0 , 30 ]  -> [ -11 ] 
223 -> [ 1 , 25 ]  -> [ -11 ] 
224 -> [ -11 , 46 ]  -> [ -2 ] 
225 -> [ -18 , 45 ]  -> [ -2 ] 
226 -> [ -16 , 25 ]  -> [ -2 ] 
227 -> [ -16 , 25 ]  -> [ -2 ] 
228 -> [ -3 , 22 ]  -> [ -13 ] 
229 -> [ -7 , 34 ]  -> [ -13 ] 
230 -> [ -7 , 34 ]  -> [ -13 ] 
231 -> [ 28 , 32 ]  -> [ -13 ] 
232 -> [ -7 , 38 ]  -> [ 1 ] 
233 -> [ -7 , 38 ]  -> [ 1 ] 
234 -> [ 8 , 36 ]  -> [ 1 ] 
235 -> [ -10 , 63 ]  -> [ 1 ] 
236 -> [ 36 , 47 ]  -> [ 6 ] 
237 -> [ -13 , 61 ]  -> [ 6 ] 
238 -> [ -37 , 67 ]  -> [ 6 ] 
239 -> [ -52 , 68 ]  -> [ 6 ] 
240 -> [ -52 , 68 ]  -> [ -38 ] 
241 -> [ 30 , 52 ]  -> [ -38 ] 
242 -> [ 10 , 55 ]  -> [ -38 ] 
243 -> [ 39 , 54 ]  -> [ -38 ] 
244 -> [ 40 , 48 ]  -> [ 29 ] 
245 -> [ 27 , 56 ]  -> [ 29 ] 
246 -> [ 27 , 54 ]  -> [ 29 ] 
247 -> [ 39 , 50 ]  -> [ 29 ] 
248 -> [ 39 , 50 ]  -> [ 33 ] 
249 -> [ 46 , 51 ]  -> [ 33 ] 
