Detected_Frame -> [ Distance , Curvature ] [avg_Dist_4]
1 -> [ 51 , 18 ]  -> [ 0 ] 
2 -> [ 51 , 18 ]  -> [ 0 ] 
3 -> [ 51 , 18 ]  -> [ 0 ] 
4 -> [ 51 , 18 ]  -> [ 51 ] 
5 -> [ 51 , 18 ]  -> [ 51 ] 
6 -> [ 51 , 18 ]  -> [ 51 ] 
7 -> [ 51 , 18 ]  -> [ 51 ] 
8 -> [ 52 , 17 ]  -> [ 51 ] 
9 -> [ 51 , 18 ]  -> [ 51 ] 
10 -> [ 51 , 18 ]  -> [ 51 ] 
11 -> [ 51 , 18 ]  -> [ 51 ] 
12 -> [ 52 , 17 ]  -> [ 51 ] 
13 -> [ 52 , 17 ]  -> [ 51 ] 
14 -> [ 53 , 17 ]  -> [ 51 ] 
15 -> [ 55 , 21 ]  -> [ 51 ] 
16 -> [ 58 , 15 ]  -> [ 54 ] 
17 -> [ 59 , 15 ]  -> [ 54 ] 
18 -> [ 59 , 15 ]  -> [ 54 ] 
19 -> [ 15 , 28 ]  -> [ 54 ] 
20 -> [ 12 , 30 ]  -> [ 36 ] 
21 -> [ 9 , 30 ]  -> [ 36 ] 
22 -> [ 20 , 27 ]  -> [ 36 ] 
23 -> [ 26 , 25 ]  -> [ 36 ] 
24 -> [ 26 , 25 ]  -> [ 20 ] 
25 -> [ 43 , 20 ]  -> [ 20 ] 
26 -> [ 43 , 20 ]  -> [ 20 ] 
27 -> [ 46 , 18 ]  -> [ 20 ] 
28 -> [ 47 , 18 ]  -> [ 44 ] 
29 -> [ 48 , 17 ]  -> [ 44 ] 
30 -> [ 48 , 17 ]  -> [ 44 ] 
31 -> [ 51 , 15 ]  -> [ 44 ] 
32 -> [ 50 , 15 ]  -> [ 49 ] 
33 -> [ 50 , 15 ]  -> [ 49 ] 
34 -> [ 50 , 15 ]  -> [ 49 ] 
35 -> [ 50 , 15 ]  -> [ 49 ] 
36 -> [ 51 , 14 ]  -> [ 50 ] 
37 -> [ 51 , 14 ]  -> [ 50 ] 
38 -> [ 53 , 14 ]  -> [ 50 ] 
39 -> [ 53 , 14 ]  -> [ 50 ] 
40 -> [ 52 , 14 ]  -> [ 52 ] 
41 -> [ 53 , 14 ]  -> [ 52 ] 
42 -> [ 53 , 14 ]  -> [ 52 ] 
43 -> [ 53 , 14 ]  -> [ 52 ] 
44 -> [ 55 , 12 ]  -> [ 53 ] 
45 -> [ 56 , 11 ]  -> [ 53 ] 
46 -> [ 57 , 11 ]  -> [ 53 ] 
47 -> [ 59 , 10 ]  -> [ 53 ] 
48 -> [ 59 , 10 ]  -> [ 57 ] 
49 -> [ 60 , 10 ]  -> [ 57 ] 
50 -> [ 60 , 10 ]  -> [ 57 ] 
51 -> [ 60 , 9 ]  -> [ 57 ] 
52 -> [ 49 , 14 ]  -> [ 57 ] 
53 -> [ 52 , 12 ]  -> [ 57 ] 
54 -> [ 54 , 12 ]  -> [ 57 ] 
55 -> [ 57 , 10 ]  -> [ 57 ] 
56 -> [ 56 , 10 ]  -> [ 54 ] 
57 -> [ 56 , 10 ]  -> [ 54 ] 
58 -> [ 54 , 10 ]  -> [ 54 ] 
59 -> [ 54 , 10 ]  -> [ 54 ] 
60 -> [ 58 , 6 ]  -> [ 55 ] 
61 -> [ 58 , 6 ]  -> [ 55 ] 
62 -> [ 56 , 7 ]  -> [ 55 ] 
63 -> [ 58 , 5 ]  -> [ 55 ] 
64 -> [ 44 , 9 ]  -> [ 54 ] 
65 -> [ 43 , 9 ]  -> [ 54 ] 
66 -> [ 43 , 9 ]  -> [ 54 ] 
67 -> [ 41 , 10 ]  -> [ 54 ] 
68 -> [ 42 , 9 ]  -> [ 42 ] 
69 -> [ 43 , 9 ]  -> [ 42 ] 
70 -> [ 44 , 9 ]  -> [ 42 ] 
71 -> [ 46 , 7 ]  -> [ 42 ] 
72 -> [ 46 , 7 ]  -> [ 44 ] 
73 -> [ 43 , 9 ]  -> [ 44 ] 
74 -> [ 43 , 9 ]  -> [ 44 ] 
75 -> [ 38 , 9 ]  -> [ 44 ] 
76 -> [ 43 , 6 ]  -> [ 41 ] 
77 -> [ 44 , 6 ]  -> [ 41 ] 
78 -> [ 32 , 10 ]  -> [ 41 ] 
79 -> [ 34 , 11 ]  -> [ 41 ] 
80 -> [ 34 , 11 ]  -> [ 36 ] 
81 -> [ 40 , 10 ]  -> [ 36 ] 
82 -> [ 35 , 9 ]  -> [ 36 ] 
83 -> [ 41 , 10 ]  -> [ 36 ] 
84 -> [ 41 , 10 ]  -> [ 39 ] 
85 -> [ 38 , 7 ]  -> [ 39 ] 
86 -> [ 42 , 9 ]  -> [ 39 ] 
